qa_id,input_text,target_text,source_standard,source_doc,control_id,question_type,difficulty
QA_0001,"Soru: Bilgi güvenliği politikalarının kuruluş içindeki temel amacı nedir? Politika dokümanlarının hangi ana unsurları içmesi beklenir?
Cevap:","Bilgi güvenliği politikalarının temel amacı, kuruluşun bilgi varlıklarını sistematik bir çerçeve altında korumak ve bu çerçeveyi üst yönetim taahhüdüyle resmileştirmektir. Bu politikalar; kapsam, amaç, ilgili roller ve sorumluluklar, uyulması gereken temel prensipler, uygulanacak yüksek seviye kontroller, uyumsuzluk durumunda yaptırımlar ve politika gözden geçirme periyotlarını içermelidir. Ayrıca politika, kuruluşun iş hedefleri ve risk iştahı ile tutarlı olmalı ve tüm çalışanlara iletilebilir, erişilebilir bir formatta yayınlanmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_5.1,tanım,kolay
QA_0002,"Soru: Bir kuruluşta bilgi güvenliği politikası yalnızca BT birimi tarafından hazırlanıp, üst yönetim tarafından resmi olarak onaylanmadan e-posta ile personele gönderilirse, ISO 27001 A.5.1 açısından hangi eksiklikler söz konusudur?
Cevap:","Bu durumda öncelikle bilgi güvenliği politikasının üst yönetim tarafından resmi olarak onaylanmaması ciddi bir eksikliktir; çünkü ISO 27001 A.5.1, politika için yönetim taahhüdü ve resmî onayı şart koşar. İkinci olarak, politika belgesinin kapsamı, hedefleri, sorumlulukları ve gözden geçirme mekanizmaları kurumsal düzeyde tanımlanmamış olabilir. Sadece BT tarafından hazırlanıp gönderilen bir metin, organizasyon genelindeki roller, iş birimleri ve üçüncü tarafları yeterince adreslemeyebilir. Son olarak, politikanın iletişimi yapılandırılmamış olduğundan, personele eğitim verilmemiş ve politika farkındalığı ölçülmemiş sayılır; bu da standardın beklediği “yayınlama ve ilgili taraflara iletme” şartını zayıflatır.",ISO27001,ISO_27001_AnnexA,ISO_5.1,senaryo,orta
QA_0003,"Soru: Bilginin ve diğer ilgili varlıkların “kabul edilebilir kullanımı” ne anlama gelir? Çalışanların kişisel kullanımını tamamen yasaklamak yerine, ISO 27001 yaklaşımına uygun bir şekilde nasıl sınırlandırmak gerekir?
Cevap:","Kabul edilebilir kullanım, çalışanların bilgi sistemlerini, cihazları ve iletişim altyapısını iş amaçları doğrultusunda ve belirlenmiş sınırlar içinde kullanmasını ifade eder. ISO 27001 yaklaşımında kişisel kullanım çoğu zaman tamamen yasaklanmaz; bunun yerine, iş sürekliliğini, bilgi güvenliğini ve hukuki yükümlülükleri ihlal etmeyecek ölçüde sınırlandırılır. Örneğin; kişisel kullanımın mesai saatleri içinde iş performansını etkilemeyecek düzeyde olması, zararlı yazılım riskini artıracak sitelerden kaçınılması, telif ihlali oluşturan içeriklerin indirilmemesi ve kurumsal e-posta adresinin kişisel kayıtlar için kullanılmaması gibi kurallar açıkça tanımlanmalı ve personele duyurulmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_5.10,tanım_kural,orta
QA_0004,"Soru: Bilgi sınıflandırma sürecinin amacı nedir? Bir kuruluşta bilgi sınıflandırma seviyelerini belirlerken hangi kriterler dikkate alınmalıdır?
Cevap:","Bilgi sınıflandırma sürecinin amacı, kuruluşun sahip olduğu bilgileri gizlilik, bütünlük ve erişilebilirlik ihtiyaçlarına göre gruplandırarak her sınıf için uygun koruma tedbirlerini belirlemektir. Sınıflandırma seviyeleri tanımlanırken bilginin iş açısından kritikliği, yasal ve sözleşmesel yükümlülükler, kişisel veri içeriği, rekabet avantajına etkisi, itibar riski ve yetkisiz ifşa durumunda doğabilecek zararlar dikkate alınmalıdır. Örneğin “Genel”, “İç Kullanım”, “Gizli” ve “Çok Gizli” gibi seviyeler belirlenebilir ve her seviye için saklama, iletme, paylaşma ve imha kuralları yazılı olarak tanımlanmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_5.12,tanım,kolay
QA_0005,"Soru: Bir çalışan, müşteri sözleşmelerini “iç kullanım” yerine “genel” olarak etiketleyip dış paydaşlarla paylaşıyorsa, bu durum bilgi sınıflandırma açısından hangi riskleri doğurur ve ISO 27001’e göre nasıl ele alınmalıdır?
Cevap:","Müşteri sözleşmelerinin yanlışlıkla “genel” seviyede etiketlenmesi, gizlilik ihlaline ve sözleşmesel yükümlülüklerin ihlaline yol açabilir. Yanlış sınıflandırma sonucu yetkisiz taraflar bilgilere erişebilir ve bu da hukuki yaptırımlar, itibar kaybı ve finansal zararla sonuçlanabilir. ISO 27001 bakış açısından, bilgi sınıflandırma sürecinin tanımlanması, etiketleme kurallarının dokümante edilmesi ve personele bu konuda eğitim verilmesi gerekir. Ayrıca olay, bilgi güvenliği olayı olarak kaydedilmeli, kök neden analizi yapılmalı ve gerekirse sınıflandırma talimatları ve erişim kontrolleri gözden geçirilmelidir.",ISO27001,ISO_27001_AnnexA,ISO_5.12,senaryo,orta
QA_0006,"Soru: ISO 27001 A.6.1 kapsamında, işe alım öncesi geçmiş doğrulama kontrollerinin (background check) amacı nedir ve hangi tür kontroller bu kapsamda değerlendirilebilir?
Cevap:","İşe alım öncesi geçmiş doğrulama kontrollerinin amacı, adayın beyan ettiği bilgilerin doğruluğunu teyit etmek ve güvenlik açısından yüksek risk taşıyan davranışları önceden tespit etmektir. Bu kapsamda eğitim ve diploma doğrulaması, önceki iş tecrübelerinin referans kontrolü, kritik pozisyonlar için adli sicil kaydı incelemesi, gerektiğinde finansal güvenilirlik değerlendirmesi ve pozisyona özgü etik uygunluk kontrolleri yapılabilir. Tüm bu süreç, yerel mevzuata ve kişisel verilerin korunmasına ilişkin düzenlemelere uygun şekilde yürütülmeli, elde edilen bilgiler yalnızca iş gereklilikleriyle bağlantılı olarak kullanılmalıdır.",ISO27001,ISO_27001_AnnexA,ISO_6.1,prosedür,orta
QA_0007,"Soru: ISO 27001’e göre uzaktan çalışma sırasında bilgi güvenliğini sağlamak için alınması gereken temel önlemler nelerdir? En az üç somut örnek veriniz.
Cevap:","Uzaktan çalışma sırasında temel hedef, kuruluş tesisleri dışında erişilen, işlenen veya saklanan bilginin korunmasıdır. Bu kapsamda; şirket sistemlerine erişimde güçlü kimlik doğrulama ve VPN kullanılması, uzaktan çalışan cihazların disk şifrelemesi ve güncel güvenlik yazılımlarıyla korunması, ortak alanlarda ekran kilidi ve omuz sörfüne karşı dikkatli olunması, kurumsal verilerin kişisel cihazlarda veya kişisel bulut hesaplarında tutulmaması gibi önlemler alınmalıdır. Ayrıca uzaktan çalışma politikasının yazılı olarak tanımlanması ve çalışanlara özel eğitim verilmesi de ISO 27001 A.6.7’nin ruhuna uygundur.",ISO27001,ISO_27001_AnnexA,ISO_6.7,tanım,kolay
QA_0008,"Soru: Bir çalışan, uzaktan çalışırken kurumsal dosyaları kişisel e-posta hesabına göndererek evdeki kişisel bilgisayarından erişmektedir. Bu durum ISO 27001 A.6.7 ve genel olarak bilgi güvenliği açısından hangi ihlallere ve risklere işaret eder? Önerilecek düzeltici faaliyetler nelerdir?
Cevap:","Çalışanın kurumsal dosyaları kişisel e-posta hesabına göndermesi, hem uzaktan çalışma politikalarının hem de bilgi sınıflandırma ve erişim kontrolü prensiplerinin ihlalidir. Kurumsal veriler kuruluşun kontrolü dışındaki bir ortama taşınmakta, şifreleme ve kayıt yönetimi mekanizmaları devre dışı kalmaktadır. Bu durum veri sızıntısı, kişisel verilerin izinsiz işlenmesi, yasal mevzuata aykırılık ve adli inceleme zorlukları gibi riskler doğurur. Düzeltici faaliyet olarak; olayın kayıt altına alınması, ilgili sistemlerde log analizi yapılması, çalışanla disiplin ve farkındalık sürecinin yürütülmesi, teknik olarak kişisel e-posta alanlarına büyük eklerin veya belirli dosya türlerinin gönderimini kısıtlayacak kontrollerin uygulanması ve uzaktan çalışma kurallarının tekrar gözden geçirilerek personele eğitim verilmesi gerekir.",ISO27001,ISO_27001_AnnexA,ISO_6.7,senaryo,zor
QA_0009,"Soru: Kullanıcı uç nokta cihazlarının (dizüstü bilgisayar, mobil telefon vb.) bilgi güvenliği açısından neden kritik olduğu ve ISO 27001 A.8.1 kapsamında hangi asgari koruma önlemlerinin tanımlanması gerektiği açıklayınız.
Cevap:","Kullanıcı uç nokta cihazları, doğrudan kurumsal bilgilere erişmek için kullanıldıkları ve çoğu zaman kuruluş dışında taşındıkları için bilgi güvenliği açısından kritik noktalar oluşturur. ISO 27001 A.8.1 kapsamında bu cihazlar için en azından kimlik doğrulama mekanizmaları, disk ve veri şifreleme, kötü amaçlı yazılımlara karşı koruma, güvenli yapılandırma standartları, otomatik kilitleme süreleri, yama ve güncelleme yönetimi ile kaybolma veya çalınma durumunda uzaktan silme gibi kontroller tanımlanmalıdır. Ayrıca kişisel ve kurumsal kullanım sınırlarının politika düzeyinde netleştirilmesi ve çalışanların bu konularda eğitilmesi gerekir.",ISO27001,ISO_27001_AnnexA,ISO_8.1,tanım,orta
QA_0010,"Soru: Kapasite yönetimi kontrolünün amacı nedir? Bilgi sistemleri için etkin bir kapasite yönetimi süreci kurarken hangi göstergeleri ve kayıtları düzenli olarak izlemek gerekir?
Cevap:","Kapasite yönetiminin amacı, bilgi sistemlerinin mevcut ve beklenen iş yükünü karşılayabilecek kaynaklara sahip olmasını ve performans sorunları yaşanmadan hizmet sunulmasını sağlamaktır. Etkin bir kapasite yönetimi sürecinde; işlemci kullanımı, bellek kullanımı, disk alanı ve I/O değerleri, ağ bant genişliği, eşzamanlı kullanıcı sayısı, iş kritik uygulamaların yanıt süreleri ve büyüme trendleri düzenli olarak izlenmelidir. Bu verilerden hareketle kapasite planları hazırlanmalı, ölçeklendirme kararları zamanında alınmalı ve kapasite yetersizliklerinin bilgi güvenliği veya iş sürekliliği riski oluşturmasının önüne geçilmelidir.",ISO27001,ISO_27001_AnnexA,ISO_8.6,süreç,orta
