chunk_id,filename,section_label,chunk_index,text
0,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.1,0,"5.1 Bilgi güvenliğine ilişkin politikalar Bilgi güvenliği politikası ve konuya özel politikalar, yönetim tarafından tanımlanmalı, onaylanmalı, yayınlanmalı, ilgili personele ve ilgili taraflara iletilmeli ve onlar tarafından kabul edilmeli ve planlanan aralıklarla ve önemli değişiklikler meydana gelirse gözden geçirilmelidir. ISO 27001 Ek A Kontrol Numarası Başlığı Kontrol Amacı.
5.1 Policies for information security Information security policy and topic-specific policies should be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur. ISO 27001 Annex A Control Number Title Control Objective"
1,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.10,0,"5.10 Bilginin ve diğer ilgili varlıkların kabul edilebilir kullanımı Bilginin ve diğer ilgili varlıkların kabul edilebilir kullanımına ilişkin kurallar ve işlemler belirlenmeli, belgelenmeli ve uygulanmalıdır.
5.10 Acceptable use of information and other associated assets Rules for the acceptable use and procedures for handling information and other associated assets should be identified, documented and implemented."
2,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.11,0,"5.11 Varlıkların İadesi Personel ve diğer ilgili taraflar, işlerinin, sözleşmelerinin veya mutabakatlarının değiştirilmesi veya feshedilmesi durumunda kuruluşun ellerinde bulunan tüm varlıklarını iade etmelidir.
5.11 Return of Assets Personnel and other interested parties as appropriate should return all the organization’s assets in their possession upon change or termination of their employment, contract or agreement."
3,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.12,0,"5.12 Bilgilerin Sınıflandırılması Bilgiler, kuruluşun gizlilik, bütünlük, erişilebilirlik ve ilgili tarafların gereksinimlerine dayalı bilgi güvenliği ihtiyaçlarına göre sınıflandırılmalıdır.
5.12 Classification Of Information Information should be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements."
4,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.13,0,"5.13 Bilgilerin Etiketlenmesi Bilgi etiketlemeye yönelik uygun bir dizi prosedür, kuruluş tarafından benimsenen bilgi sınıflandırma şemasına uygun olarak geliştirilmeli ve uygulanmalıdır.
5.13 Labelling of Information An appropriate set of procedures for information labelling should be developed and implemented in accordance with the information classification scheme adopted by the organization."
5,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.14,0,"5.14 Bilgi Transferi Organizasyon içindeki ve organizasyon ile diğer taraflar arasındaki her türlü transfer olanağı için bilgi transfer kuralları, prosedürleri veya anlaşmaları mevcut olmalıdır.
5.14 Information Transfer Information transfer rules, procedures, or agreements should be in place for all types of transfer facilities within the organization and between the organization and other parties."
6,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.15,0,"5.15 Erişim Kontrolü Bilgiye ve diğer ilgili varlıklara fiziksel ve mantıksal erişimi kontrol etmeye yönelik kurallar, iş ve bilgi güvenliği gereksinimlerine dayalı olarak oluşturulmalı ve uygulanmalıdır.
5.15 Access Control Rules to control physical and logical access to information and other associated assets should be established and implemented based on business and information security requirements."
7,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.16,0,"5.16 Kimlik Yönetimi Kimliklerin tüm yaşam döngüsü yönetilmelidir.
5.16 Identity Management The full life cycle of identities should be managed."
8,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.17,0,"5.17 Kimlik doğrulama bilgileri Kimlik doğrulama bilgilerinin tahsisi ve yönetimi, personele kimlik doğrulama bilgilerinin uygun şekilde kullanılması konusunda tavsiyelerde bulunmak da dahil olmak üzere bir yönetim süreci tarafından kontrol edilmelidir.
5.17 Authentication information Allocation and management of authentication information should be controlled by a management process, including advising personnel on the appropriate handling of authentication information."
9,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.18,0,"5.18 Erişim hakları Bilgilere ve diğer ilgili varlıklara erişim hakları, kuruluşun konuya özel politikasına ve erişim kontrolü kurallarına uygun olarak sağlanmalı, gözden geçirilmeli, değiştirilmeli ve kaldırılmalıdır.
5.18 Access rights Access rights to information and other associated assets should be provisioned, reviewed, modified and removed in accordance with the organization’s topic- specific policy on and rules for access control."
10,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.19,0,"5.19 Tedarikçi ilişkilerinde bilgi güvenliği Tedarikçinin ürün veya hizmetlerinin kullanımıyla ilişkili bilgi güvenliği risklerini yönetmek için süreçler ve prosedürler tanımlanmalı ve uygulanmalıdır.
5.19 Information security in supplier relationships Processes and procedures should be defined and implemented to manage the information security risks associated with the use of supplier’s products or services."
11,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.2,0,"5.2 Bilgi güvenliği rolleri ve sorumlulukları Bilgi güvenliği rolleri ve sorumlulukları kuruluşun ihtiyaçlarına göre tanımlanmalı ve tahsis edilmelidir.
5.2 Information security roles and responsibilities Information security roles and responsibilities should be defined and allocated according to the organization needs"
12,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.20,0,"5.20 Tedarikçi anlaşmalarında bilgi güvenliğinin ele alınması Tedarikçi ilişkisinin türüne göre her tedarikçi ile ilgili bilgi güvenliği gereksinimleri oluşturulmalı ve üzerinde anlaşmaya varılmalıdır.
5.20 Addressing information security within supplier agreements Relevant information security requirements should be established and agreed with each supplier based on the type of supplier relationship."
13,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.21,0,"5.21 BT tedarik zincirinde bilgi güvenliğinin yönetilmesi BT ürünleri ve hizmetleri tedarik zinciriyle ilişkili bilgi güvenliği risklerini yönetmek için süreçler ve prosedürler tanımlanmalı ve uygulanmalıdır.
5.21 Managing information security in the ICT supply chain Processes and procedures should be defined and implemented to manage the information security risks associated with the ICT products and services supply chain."
14,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.22,0,"5.22 Tedarikçi hizmetlerinin izlenmesi, gözden geçirilmesi ve değişiklik yönetimi Kuruluş, tedarikçi bilgi güvenliği uygulamaları ve hizmet sunumundaki değişiklikleri düzenli olarak izlemeli, incelemeli, değerlendirmeli ve yönetmelidir.
5.22 Monitoring, review and change management of supplier services The organization should regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery."
15,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.23,0,"5.23 Bulut hizmetlerinin kullanımına yönelik bilgi güvenliği Bulut hizmetlerinin edinilmesi, kullanılması, yönetilmesi ve çıkış süreçleri, kuruluşun bilgi güvenliği gereksinimlerine uygun olarak oluşturulmalıdır.
5.23 Information security for use of cloud services Processes for acquisition, use, management and exit from cloud services should be established in accordance with the organization’s information security requirements."
16,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.24,0,"5.24 Bilgi güvenliği olay yönetimi planlaması ve hazırlığı Kuruluş, bilgi güvenliği olay yönetimi süreçlerini, rollerini ve sorumluluklarını tanımlayarak, kurarak ve ileterek bilgi güvenliği olaylarını yönetmeye yönelik planlama yapmalı ve hazırlık yapmalıdır.
5.24 Information security incident management planning and preparation The organization should plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities"
17,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.25,0,"5.25 Bilgi güvenliği olaylarına ilişkin değerlendirme ve karar Kuruluş, bilgi güvenliği olaylarını değerlendirmeli ve bunların bilgi güvenliği olayları olarak sınıflandırılıp sınıflandırılmayacağına karar vermelidir.
5.25 Assessment and decision on information security events The organization should assess information security events and decide if they are to be categorized as information security incidents."
18,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.26,0,"5.26 Bilgi güvenliği olaylarına müdahale Bilgi güvenliği olaylarına, belgelenmiş prosedürlere uygun olarak müdahale edilmelidir.
5.26 Response to information security incidents Information security incidents should be responded to in accordance with the documented procedures."
