filename,source_url,section_label,section_index,chunk_index,chunk_text
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.1,5.1,0,"5.1 Policies for information security Information security policy and topic-specific policies should be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur. ISO 27001 Annex A Control Number Title Control Objective"
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.10,5.1,0,"5.10 Acceptable use of information and other associated assets Rules for the acceptable use and procedures for handling information and other associated assets should be identified, documented and implemented."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.11,5.11,0,"5.11 Return of Assets Personnel and other interested parties as appropriate should return all the organization’s assets in their possession upon change or termination of their employment, contract or agreement."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.12,5.12,0,"5.12 Classification Of Information Information should be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.13,5.13,0,5.13 Labelling of Information An appropriate set of procedures for information labelling should be developed and implemented in accordance with the information classification scheme adopted by the organization.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.14,5.14,0,"5.14 Information Transfer Information transfer rules, procedures, or agreements should be in place for all types of transfer facilities within the organization and between the organization and other parties."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.15,5.15,0,5.15 Access Control Rules to control physical and logical access to information and other associated assets should be established and implemented based on business and information security requirements.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.16,5.16,0,5.16 Identity Management The full life cycle of identities should be managed.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.17,5.17,0,"5.17 Authentication information Allocation and management of authentication information should be controlled by a management process, including advising personnel on the appropriate handling of authentication information."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.18,5.18,0,"5.18 Access rights Access rights to information and other associated assets should be provisioned, reviewed, modified and removed in accordance with the organization’s topic- specific policy on and rules for access control."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.19,5.19,0,5.19 Information security in supplier relationships Processes and procedures should be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.2,5.2,0,5.2 Information security roles and responsibilities Information security roles and responsibilities should be defined and allocated according to the organization needs
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.20,5.2,0,5.20 Addressing information security within supplier agreements Relevant information security requirements should be established and agreed with each supplier based on the type of supplier relationship.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.21,5.21,0,5.21 Managing information security in the ICT supply chain Processes and procedures should be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.22,5.22,0,"5.22 Monitoring, review and change management of supplier services The organization should regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.23,5.23,0,"5.23 Information security for use of cloud services Processes for acquisition, use, management and exit from cloud services should be established in accordance with the organization’s information security requirements."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.24,5.24,0,"5.24 Information security incident management planning and preparation The organization should plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities"
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.25,5.25,0,5.25 Assessment and decision on information security events The organization should assess information security events and decide if they are to be categorized as information security incidents.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.26,5.26,0,5.26 Response to information security incidents Information security incidents should be responded to in accordance with the documented procedures.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.27,5.27,0,5.27 Learning from information security incidents Knowledge gained from information security incidents should be used to strengthen and improve the information security controls.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.28,5.28,0,"5.28 Collection of evidence The organization should establish and implement procedures for the identification, collection, acquisition and preservation of evidence related to information security events."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.29,5.29,0,5.29 Information security during disruption The organization should plan how to maintain information security at an appropriate level during disruption.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.3,5.3,0,5.3 Segregation of duties Conflicting duties and conflicting areas of responsibility should be segregated.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.30,5.3,0,"5.30 ICT readiness for business continuity ICT readiness should be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.31,5.31,0,"5.31 Legal, statutory, regulatory and contractual requirements Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements should be identified, documented and kept up to date."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.32,5.32,0,5.32 Intellectual property rights The organization should implement appropriate procedures to protect intellectual property rights.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.33,5.33,0,"5.33 Protection of records Records should be protected from loss, destruction, falsification, unauthorized access and unauthorized release."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.34,5.34,0,5.34 Privacy and protection of PII The organization should identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.35,5.35,0,"5.35 Independent review of information security The organization’s approach to managing information security and its implementation including people, processes and technologies should be reviewed independently at planned intervals, or when significant changes occur."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.36,5.36,0,"5.36 Compliance with policies, rules and standards for information security Compliance with the organization’s information security policy, topic-specific policies, rules and standards should be regularly reviewed."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.37,5.37,0,5.37 Documented operating procedures Operating procedures for information processing facilities should be documented and made available to personnel who need them. 6 People Controls
