filename,source_url,section_label,section_index,chunk_index,chunk_text,chunk_text_tr
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.1,5.1,0,"5.1 Policies for information security Information security policy and topic-specific policies should be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur. ISO 27001 Annex A Control Number Title Control Objective","5.1 Bilgi Güvenliği Politikaları Bilgi Güvenliği Politikası ve konuya özgü politikalar tanımlanmalı, yönetim tarafından onaylanmalı, yayınlanmalı, iletilmelidir ve ilgili personel ve ilgili ilgi alanları tarafından onaylanmalıdır ve planlanan aralıklarda ve önemli değişiklikler meydana gelirse incelenmelidir."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.10,5.1,0,"5.10 Acceptable use of information and other associated assets Rules for the acceptable use and procedures for handling information and other associated assets should be identified, documented and implemented.","5.10 Bilgilerin ve diğer ilişkili varlıkların kabul edilebilir kullanımı Kabul edilebilir kullanım kuralları ve bilgi ve diğer ilişkili varlıkların işlenmesi için prosedürler tanımlanmalı, belgelendirilmelidir ve uygulanmalıdır."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.11,5.11,0,"5.11 Return of Assets Personnel and other interested parties as appropriate should return all the organization’s assets in their possession upon change or termination of their employment, contract or agreement.","5.11 Varlıkların iade Personel ve diğer ilgi alanları, iş, sözleşme veya sözleşme değişikliği veya sona erdiğinde sahip oldukları tüm varlıkları iade etmelidir."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.12,5.12,0,"5.12 Classification Of Information Information should be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.","5.12 Bilgi Bilgileri Sınıflandırması, kuruluşun bilgi güvenliği gereksinimlerine göre, gizlilik, bütünlük, kullanılabilirlik ve ilgili ilgi alanlarının gereksinimlerine göre sınıflandırılmalıdır."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.13,5.13,0,5.13 Labelling of Information An appropriate set of procedures for information labelling should be developed and implemented in accordance with the information classification scheme adopted by the organization.,"5.13 Bilgi etiketleme Bilgi etiketleme için uygun bir dizi prosedür, kuruluş tarafından kabul edilen bilgi sınıflandırma sistemine uygun olarak geliştirilmeli ve uygulanmalıdır."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.14,5.14,0,"5.14 Information Transfer Information transfer rules, procedures, or agreements should be in place for all types of transfer facilities within the organization and between the organization and other parties.","5.14 Bilgi aktarımı Bilgi aktarımı kuralları, prosedürleri veya anlaşmaları, kuruluş içinde ve kuruluş ve diğer taraflar arasındaki her türlü aktarım tesisleri için uygulanmalıdır."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.15,5.15,0,5.15 Access Control Rules to control physical and logical access to information and other associated assets should be established and implemented based on business and information security requirements.,"5.15 Bilgiye ve diğer ilgili varlıklara fiziksel ve mantıksal erişimi kontrol etmek için erişim kontrolü kuralları, iş ve bilgi güvenliği gereksinimlerine göre kurulmalı ve uygulanmalıdır."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.16,5.16,0,5.16 Identity Management The full life cycle of identities should be managed.,5.16 Kimlik Yönetimi Kimliklerin tam yaşam döngüsü yönetilmelidir.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.17,5.17,0,"5.17 Authentication information Allocation and management of authentication information should be controlled by a management process, including advising personnel on the appropriate handling of authentication information.","5.17 Doğrulama bilgileri Doğrulama bilgileri dağıtımı ve yönetimi, doğrulama bilgileri uygun şekilde ele alınması konusunda personel danışmanlığı da dahil olmak üzere bir yönetim süreci tarafından kontrol edilmelidir."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.18,5.18,0,"5.18 Access rights Access rights to information and other associated assets should be provisioned, reviewed, modified and removed in accordance with the organization’s topic- specific policy on and rules for access control.","5.18 Erişim hakları Bilgi ve diğer ilgili varlıklara erişim hakları, kuruluşun tematik politikalarına ve erişim kontrol kurallarına uygun olarak sağlanmalı, incelenmelidir, değiştirilmelidir ve kaldırılmalıdır."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.19,5.19,0,5.19 Information security in supplier relationships Processes and procedures should be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.,5.19 Tedarikçi ilişkilerinde bilgi güvenliği Tedarikçi ürünlerinin veya hizmetlerinin kullanımıyla ilişkili bilgi güvenliği riskleri yönetmek için süreçler ve prosedürler tanımlanmalı ve uygulanmalıdır.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.2,5.2,0,5.2 Information security roles and responsibilities Information security roles and responsibilities should be defined and allocated according to the organization needs,5.2 Bilgi Güvenliği Rolleri ve Sorumlulukları Bilgi Güvenliği Rolleri ve Sorumlulukları Kuruluşun ihtiyaçlarına göre tanımlanmalı ve dağıtılmalıdır.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.20,5.2,0,5.20 Addressing information security within supplier agreements Relevant information security requirements should be established and agreed with each supplier based on the type of supplier relationship.,"5.20 Tedarikçi sözleşmelerinde bilgi güvenliği ile ilgili bilgi güvenliği gereksinimleri, tedarikçi ilişkilerinin türüne dayanarak her tedarikçi ile kurulmalı ve anlaşılmalıdır."
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.21,5.21,0,5.21 Managing information security in the ICT supply chain Processes and procedures should be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.,5.21 ICT tedarik zincirinde bilgi güvenliği yönetimi ICT ürün ve hizmet tedarik zinciriyle ilişkili bilgi güvenliği riskleri yönetmek için süreçler ve prosedürler tanımlanmalı ve uygulanmalıdır.
ISO-27001-Controls-List-Free-Download-pdf-.pdf,https://hightable.io/iso-27001-annex-a-controls-list/,ISO_5.22,5.22,0,"5.22 Monitoring, review and change management of supplier services The organization should regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery.","5.22 Tedarikçi Hizmetlerinin İzlenmesi, Değerlendirilmesi ve Değiştirilmesi Organizasyon, Tedarikçi Bilgi Güvenliği Uygulamalarında ve Hizmet Teslimatında Değişiklikleri Düzenli olarak İzlemeli, Değerlendirmeli, Değerlendirmeli ve Yönetmelidir."
