question_id,question,answer,question_type,source_filenames,source_sections,source_chunk_ids,is_impossible
COMP0001,"According to the policy documents, what is the recommended algorithm for symmetric encryption and what is the recommended algorithm for asymmetric encryption?",The policy strongly recommends the Advanced Encryption Standard (AES) for symmetric encryption. The policy strongly recommends the RSA and Elliptic Curve Cryptography (ECC) algorithms for asymmetric encryption.,complex,SANS_Acceptable_Encryption_Standard_April2025.pdf|SANS_Acceptable_Encryption_Standard_April2025.pdf,full|full,0|1,False
COMP0002,"According to the policies, what is the recommended method for authenticating public keys used to establish trust?","To authenticate public keys used to establish trust, the policy recommends using a cryptographically signed message or manual verification of the public key hash. This is in line with the authentication requirements for key exchanges and session key derivation.",complex,SANS_Acceptable_Encryption_Standard_April2025.pdf|SANS_Acceptable_Encryption_Standard_April2025.pdf,full|full,1|2,False
COMP0003,What are the potential consequences of violating the security policy regarding the use of cryptographic keys?,"Violating the security policy regarding the use of cryptographic keys can result in disciplinary action ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations.  Individuals could also face legal consequences under applicable laws if violations involve illegal activities.",complex,SANS_Acceptable_Encryption_Standard_April2025.pdf|SANS_Acceptable_Encryption_Standard_April2025.pdf,full|full,2|3,False
COMP0004,"What are the specific actions employees must take to ensure the security of company-owned devices, especially when they are unattended?","Employees must ensure that company-owned devices are secured with a password-protected lock screen with the automatic activation feature set to 10 minutes or less. When the device is unattended, employees must lock the screen or log off to prevent unauthorized access.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,0|1,False
COMP0005,"What are the specific security measures employees are expected to take when using company-issued devices, and what are the consequences of violating these measures?","Employees are expected to secure company-issued devices with a password-protected lock screen and log off when the device is unattended, as stipulated by the Minimum Access Policy.  Violating these measures, such as failing to secure access or providing unauthorized access, is prohibited and may result in disciplinary action, including potential termination, as per the company's policy on unacceptable use.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,1|2,False
COMP0006,"What are some activities that are considered unacceptable use of company resources, and what are the consequences of violating these rules?","The company prohibits activities that violate the rights of individuals or companies protected by copyright, trade secret, patent, or other intellectual property laws, including the installation or distribution of 'pirated' software. Unauthorized copying of copyrighted material, like digitizing photos or distributing music, is strictly prohibited. Additionally, accessing data or accounts for non-business purposes is unacceptable. Violating these rules can result in disciplinary action, including termination of employment.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,2|3,False
COMP0007,"According to the policy documents, what activities are prohibited when using a company asset, even if authorized access is present?","The policy documents state that accessing data, a server, or an account for any purpose other than conducting <Company Name> business is prohibited, even if authorized access is present. Additionally, introducing malicious programs into the network or server is prohibited, as well as making fraudulent offers of products, items, or services originating from any <Company Name> account.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,3|4,False
COMP0008,What is explicitly prohibited in terms of network activity and what actions are considered a security breach?,"The company prohibits network activity that involves accessing data of which the employee is not an intended recipient, logging into a server or account the employee is not authorized to access, and disrupting network communication. These actions are considered security breaches, which include, but are not limited to, network sniffing, ping floods, packet spoofing, denial of service, brute-forcing accounts, and forged routing information for malicious purposes.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,4|5,False
COMP0009,"What are some activities that are expressly prohibited by the company's policies, even if they are part of a regular job duty?","The company explicitly prohibits activities that could disrupt network communication or security, such as accessing data of which the employee is not an intended recipient, logging into unauthorized accounts, and executing network monitoring that intercepts data not intended for the employee's host. Additionally, activities like introducing honeypots or interfering with other users' services are also prohibited unless prior notification is given to the Infosec team.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,5|6,False
COMP0010,"What actions are prohibited for employees when using company resources to access the internet, and what is the expectation regarding the content of their communications?","Employees must be aware that when using company resources to access the internet, they represent the company.  They are expected to clearly indicate that any opinions expressed are their own and not necessarily those of the company.  Additionally, employees are prohibited from sending unsolicited email messages, including junk mail or other advertising material.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,6|7,False
COMP0011,What are the specific limitations on employees' use of company systems for blogging or social media posting?,"While limited and occasional use of company systems for blogging or other online posting is acceptable, it must be done in a professional and responsible manner, not detrimental to the company's best interests, and not interfere with work duties.  Furthermore, employees are prohibited from revealing confidential information, making discriminatory, disparaging, or harassing comments, and harming the company's reputation when engaging in blogging.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,7|8,False
COMP0012,What are the potential consequences for an employee who violates the company's blogging policy?,"Employees who violate the company's blogging policy may face disciplinary action, including mandatory refresher training, written warnings, and even temporary suspension, depending on the severity of the violation. These consequences are in line with the company's human resources procedures.",complex,SANS_Acceptable_Use_Standard_April2025.pdf|SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards|Safeguards,8|9,False
COMP0013,"According to the policy, what is required for maintaining Access Control Lists (ACLs) on code repositories?","To maintain Access Control Lists (ACLs) on code repositories, the organization must follow approved documentation, roles, and the principle of least privilege.",complex,SANS_Access_Management_Policy_April2025.pdf|SANS_Access_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False
COMP0014,"What are the potential consequences for non-compliance with the Access Control Lists (ACLs) policy, as outlined in the document?","Non-compliance with the ACLs policy may result in disciplinary action, ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations. Individuals could also face legal consequences under applicable laws if violations involve illegal activities.",complex,SANS_Access_Management_Policy_April2025.pdf|SANS_Access_Management_Policy_April2025.pdf,Safeguards|Safeguards,1|2,False
COMP0015,Who is responsible for enforcing the Artificial Intelligence Use Policy at YourCompanyName?,The ResponsibleCorporateOfficer at YourCompanyName is responsible for the enforcement of this Policy.,complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,0|1,False
COMP0016,"According to the policy documents, what category of AI system requires approval from the AI Committee and what category does not require approval?","The AI system that requires approval from the AI committee is a closed AI system, while those embedded in existing software tools approved and used at YourCompanyName and which do not require approval for use from the AI Committee are considered Embedded AI Tools.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,1|2,False
COMP0017,"According to the provided policy snippets, what type of data is considered 'Non-public YourCompanyName data' and who is considered a 'YourCompanyName Representative'?","Non-public YourCompanyName data is information that, if disclosed, could violate the privacy of individuals, government regulations or statutes, could jeopardize the financial state of YourCompanyName, could injure its reputation, or could reduce its competitive advantage. 'YourCompanyName Representatives' includes all YourCompanyName directors, officers, board members, employees, contractors, representatives, resellers and sub- resellers, distributors and sub-distributors, affiliates, agents, and any person or entity performing services for or on behalf of YourCompanyName.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,2|3,False
COMP0018,"According to the policy, what is the primary guiding principle for the use of AI at YourCompanyName, and what should be the focus of its implementation?",The primary guiding principle for the use of AI at YourCompanyName is to leverage AI as a tool while ensuring it continues to meet legal obligations and act in an ethical manner. The focus of its implementation should be on improving business efficiencies and enhancing YourCompanyName’s ability to fulfill its mission.,complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,3|4,False
COMP0019,"According to the policy documents, what should YourCompanyName Representatives consider before using AI at YourCompanyName, and where can they find further guidance on the use of AI at YourCompanyName?","YourCompanyName Representatives should consult with their manager before using any AI at YourCompanyName, whether for personal business tasks or more complex business processes. Further guidance on the use of AI can be found in the Prohibited Uses section of the policy documents and the High-Risk Use of AI Systems section, as well as in existing approved YourCompanyName software, which may include embedded AI tools.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,4|5,False
