question_id,question,answer,question_type,source_filenames,source_sections,source_chunk_ids,is_impossible,dataset_split
QA0001,What are some examples of activities that are strictly prohibited according to the policy?,"The policy prohibits violations of intellectual property rights, including unauthorized copying of copyrighted material, installation of unlicensed software, and unauthorized access to data or accounts. It also prohibits exporting software or technology in violation of export control laws.",simple,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,3,False,train
QA0002,What are the potential consequences for individuals who violate this policy?,"Non-compliance with this policy may result in disciplinary action, ranging from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations.",simple,SANS_Safeguard_Implementation_Management_Policy_April2025.pdf,Safeguards,2,False,train
QA0003,"According to the policy, what specific security measure must be in place for all wireless networks and what is its purpose?","To ensure the security of wireless networks, all wireless networks must have certificate-based authentication, and all wireless connections must be encrypted using AES-CCMP. This is to prevent unauthorized access and protect sensitive data transmitted over the network.",complex,SANS_Internal_Network_Access_Management_Policy_April2025.pdf|SANS_Internal_Network_Access_Management_Policy_April2025.pdf,Safeguards|Safeguards,0|1,False,train
QA0004,What are the security implications of storing database credentials in a file that is not source code?,This information is not specified in the policy snippet.,negative,SANS_Database_Credentials_Standard_April2025.pdf,full,3,True,train
QA0005,Which security controls are required to be implemented to ensure the organization's Cloud Service Providers or Software-as-a-Service (SaaS) providers are regularly scanned for cybersecurity vulnerabilities?,The policy requires the implementation of a cloud configuration vulnerability management system for regular scanning of authorized CSPs or SaaS providers for cybersecurity vulnerabilities.,simple,SANS_Cloud_Service_Provider_Management_Policy_April2025.pdf,Safeguards,1,False,train
QA0006,What are the specific requirements for using AI tools in third-party software or services?,"The policy text does not specify the requirements for using AI tools in third-party software or services, but it does state that any AI usage by software used by these parties or services must be noted and evaluated carefully.",negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,6,True,train
QA0007,What is the purpose of SAF-13?,SAF-13 requires the organization's cybersecurity safeguard documentation to clearly define the job roles responsible for awareness of each documented cybersecurity safeguard.,simple,SANS_Safeguard_Selection_Management_Policy_April2025.pdf,Safeguards,2,False,train
QA0008,What are the potential consequences for employees who violate the cybersecurity policy?,"The consequences for violating the cybersecurity policy can range from mandatory refresher training and written warnings to temporary suspension of remote access privileges and, in severe cases, termination of employment or contractual obligations.",simple,SANS_Internal_Network_Access_Management_Policy_April2025.pdf,Safeguards,2,False,train
QA0009,Who is responsible for ensuring that all employees receive regular information security training?,This policy snippet does not specify who is responsible for ensuring that all employees receive regular information security training.,negative,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_6.3,0,True,train
QA0010,"Based on the provided policy snippets, what are the key considerations for using AI systems in personnel decisions, especially when evaluating candidates for admission into a university program?","The policy snippets highlight that using AI in personnel decisions, particularly when evaluating potential candidates for admission into a university program, is considered high risk. This is due to the potential for AI systems to introduce bias, especially when using data sets that may contain existing biases.  Therefore, extreme caution is required when using AI for enrollment decisions, ensuring that such systems comply with all applicable laws and regulations, and avoid introducing bias in the evaluation process.",complex,SANS_Artificial_Intelligence_Standard_April2025.pdf|SANS_Artificial_Intelligence_Standard_April2025.pdf,full|full,15|16,False,train
