question_id,question,answer,question_type,source_filenames,source_sections,source_chunk_ids,is_impossible
NEG0001,What are the specific requirements for ensuring data encryption on mobile devices?,This policy snippet does not specify the requirements for data encryption on mobile devices.,negative,SANS_Mobile_Device_Management_Policy_April2025.pdf,Safeguards,1,True
NEG0002,How often should the organization conduct cybersecurity assessments?,This policy snippet does not specify the frequency of cybersecurity assessments.,negative,SANS_Safeguard_Validation_Management_Policy_April2025.pdf,Safeguards,2,True
NEG0003,What specific protocols or technologies must be used for data encryption when connecting to the organization's network?,This policy snippet does not specify the specific protocols or technologies that must be used for data encryption when connecting to the organization's network.,negative,SANS_Perimeter_Network_Access_Management_Policy_April2025.pdf,Safeguards,1,True
NEG0004,What are the specific requirements for user permissions on the EDR system?,The provided policy snippet does not specify the specific requirements for user permissions on the EDR system.,negative,SANS_System_Protection_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0005,What are the specific security requirements for using AI tools in the context of this policy?,This policy snippet does not specify the security requirements for using AI tools.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,2,True
NEG0006,What are the security implications of storing database credentials in a file that is not source code?,This information is not specified in the policy snippet.,negative,SANS_Database_Credentials_Standard_April2025.pdf,full,3,True
NEG0007,How are public keys used for authentication and what are the recommended methods for verifying them?,This policy snippet does not specify the recommended methods for verifying public keys or the specific details of authentication using public keys.,negative,SANS_Acceptable_Encryption_Standard_April2025.pdf,full,1,True
NEG0008,What specific types of legal consequences could someone face for violating this policy?,The policy does not specify the specific types of legal consequences that could be faced for policy violations.,negative,SANS_Email_Management_Policy_April2025.pdf,Safeguards,2,True
NEG0009,What are the specific requirements for accessing and using high-quality datasets for the development of high-risk AI systems?,The policy text does not specify the specific requirements for accessing and using high-quality datasets for the development of high-risk AI systems.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,22,True
NEG0010,What are the specific types of alerts that need to be tracked by the log management system?,This policy does not specify the types of alerts that need to be tracked by the log management system.,negative,SANS_Log_Management_Policy_April2025.pdf,Safeguards,2,True
NEG0011,What specific types of disciplinary action are considered for policy violations?,"The policy does not specify the exact types of disciplinary actions taken for policy violations, only that they can range from training to termination of employment or contractual obligations.",negative,SANS_Mobile_Device_Management_Policy_April2025.pdf,Policy Sanctions,0,True
NEG0012,What specific types of encryption are required for data stored on the organization's network?,This policy snippet does not specify the specific types of encryption required for data stored on the organization's network.,negative,SANS_Internal_Network_Access_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0013,What are the specific requirements for protecting personal data in the context of AI systems?,The provided policy snippet does not specify the specific requirements for protecting personal data in the context of AI systems.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,21,True
NEG0014,What specific procedures are outlined for incident response in this policy?,This policy snippet does not specify procedures for incident response.,negative,SANS_Physical_Security_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0015,What are the specific regulations the organization must comply with when managing data?,The provided policy snippet does not specify the regulations the organization must comply with when managing data.,negative,SANS_Data_Inventory_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0016,What is the specific process for regularly performing identity reviews of the organization's Identity Providers (IDPs)?,This policy snippet does not specify the details of the process for regularly performing identity reviews of the organization's Identity Providers (IDPs).,negative,SANS_Identity_Management_Policy_April2025.pdf,Safeguards,2,True
NEG0017,What are the specific steps for handling a data breach incident?,The provided policy snippet does not specify the steps for handling a data breach incident.,negative,SANS_Resilience_Management_Policy_April2025.pdf,Safeguards,1,True
NEG0018,What are the specific requirements for the use of AI systems in sensitive environments?,The provided policy snippet does not specify the requirements for using AI systems in sensitive environments.,negative,SANS_Artificial_Intelligence_Standard_April2025.pdf,full,1,True
NEG0019,"What are the specific requirements for obtaining authorization to access data, servers, or accounts for purposes other than conducting business?","This policy snippet does not specify the requirements for obtaining authorization to access data, servers, or accounts for purposes other than conducting business.",negative,SANS_Acceptable_Use_Standard_April2025.pdf,Safeguards,3,True
NEG0020,What are the specific security procedures the organization should follow when handling sensitive data?,The provided policy snippet does not specify the security procedures for handling sensitive data.,negative,SANS_Asset_Management_Policy_April2025.pdf,Safeguards,0,True
NEG0021,What are the specific consequences for employees who violate the cybersecurity policy?,This policy snippet does not specify the specific consequences for employees who violate the cybersecurity policy.,negative,SANS_Safeguard_Implementation_Management_Policy_April2025.pdf,Safeguards,2,True
