question_id,question,answer,question_type,source_filenames,source_sections,source_chunk_ids,is_impossible
SIMP0001,Who needs to approve the information security policy?,Management must approve the information security policy.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.1,0,False
SIMP0002,What is the standard for reviewing the information security policy?,The information security policy should be reviewed at planned intervals and if significant changes occur.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.1,0,False
SIMP0003,"Who is responsible for identifying, documenting, and implementing rules for acceptable use of information and other associated assets?","The organization is responsible for identifying, documenting, and implementing rules for acceptable use of information and other associated assets.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.10,0,False
SIMP0004,Who is responsible for returning assets?,"Personnel and other interested parties, as appropriate, are responsible for returning all the organization’s assets in their possession upon change or termination of their employment, contract, or agreement.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.11,0,False
SIMP0005,What are the factors that determine the classification of information?,"The classification of information is determined by the organization's information security needs, taking into account confidentiality, integrity, availability, and relevant interested party requirements.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.12,0,False
SIMP0006,What is the purpose of the policy?,The policy outlines the need for procedures for labeling information based on its classification scheme.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.13,0,False
SIMP0007,What are the requirements for information transfer?,"The policy requires information transfer rules, procedures, or agreements to be in place for all types of transfer facilities within the organization and between the organization and other parties.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.14,0,False
SIMP0008,Who is responsible for establishing and implementing access control rules?,Organizations must establish and implement access control rules based on business and information security requirements.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.15,0,False
SIMP0009,What is the focus of Identity Management as defined in this policy?,"Identity Management encompasses the full life cycle of identities, ensuring their creation, management, and deletion.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.16,0,False
SIMP0010,Who is responsible for managing authentication information?,The management process is responsible for the allocation and management of authentication information.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.17,0,False
SIMP0011,"Who is responsible for reviewing, modifying, and removing access rights?",The organization's topic-specific policy dictates the responsibilities for access rights management.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.18,0,False
SIMP0012,Who is responsible for defining and implementing processes and procedures to manage information security risks associated with supplier's products or services?,Processes and procedures related to information security risks associated with supplier products or services should be defined and implemented by the organization.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.19,0,False
SIMP0013,Who defines and allocates information security roles and responsibilities?,The organization determines the roles and responsibilities for information security based on its specific needs.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.2,0,False
SIMP0014,Who is responsible for establishing information security requirements with suppliers?,Relevant information security requirements should be established and agreed with each supplier based on the type of supplier relationship.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.20,0,False
SIMP0015,What are the processes and procedures that should be defined and implemented to manage information security risks?,Processes and procedures should be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.21,0,False
SIMP0016,What is the organization's responsibility regarding supplier services?,"The organization is responsible for regularly monitoring, reviewing, evaluating, and managing changes in supplier information security practices and service delivery.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.22,0,False
SIMP0017,"What are the processes for acquiring, using, managing, and exiting cloud services?","The organization should establish processes for each stage of cloud service lifecycle, including acquisition, use, management, and exit, to ensure compliance with information security requirements.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.23,0,False
SIMP0018,Who is responsible for managing information security incidents?,"The organization should define, establish, and communicate information security incident management processes, roles, and responsibilities to prepare for managing information security incidents.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.24,0,False
SIMP0019,Who is responsible for assessing information security events?,The organization is responsible for assessing information security events.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.25,0,False
SIMP0020,What is the procedure for responding to information security incidents?,The policy states that information security incidents should be responded to in accordance with the documented procedures.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.26,0,False
SIMP0021,Who should use the knowledge gained from information security incidents to improve information security controls?,Information security professionals and other relevant personnel should use the knowledge gained from information security incidents to strengthen and improve information security controls.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.27,0,False
SIMP0022,Who is responsible for establishing and implementing procedures for the collection of evidence related to information security events?,The organization is responsible for establishing and implementing procedures for the collection of evidence related to information security events.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.28,0,False
SIMP0023,What is the organization's responsibility regarding information security during disruption?,The organization is responsible for planning how to maintain information security at an appropriate level during disruptions.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.29,0,False
SIMP0024,What is the policy's primary focus?,This policy emphasizes the importance of segregating conflicting duties and areas of responsibility within an organization to enhance security.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.3,0,False
SIMP0025,What is the purpose of ICT readiness planning?,ICT readiness planning is designed to ensure that ICT systems are prepared to meet business continuity objectives and requirements.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.30,0,False
SIMP0026,What are the requirements for information security?,"The policy requires that relevant legal, statutory, regulatory, and contractual requirements be identified, documented, and kept current.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.31,0,False
SIMP0027,What procedures should the organization implement to protect intellectual property rights?,The organization should implement appropriate procedures to protect intellectual property rights.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.32,0,False
SIMP0028,What is the policy's focus?,"This policy outlines the necessary steps to safeguard records from various threats, ensuring their integrity and availability.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.33,0,False
SIMP0029,Which laws and regulations must the organization follow regarding privacy and PII protection?,The organization must identify and meet the requirements regarding privacy and protection of PII according to applicable laws and regulations and contractual requirements.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.34,0,False
SIMP0030,What is the frequency of independent review of information security?,"The organization's approach to information security management and its implementation should be reviewed independently at planned intervals, or when significant changes occur.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.35,0,False
SIMP0031,"Who is responsible for regularly reviewing information security policies, rules, and standards?","The responsibility for regularly reviewing information security policies, rules, and standards lies with the organization. This review should be conducted in a systematic manner.",simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.36,0,False
SIMP0032,Who needs access to documented operating procedures?,Personnel who need access to them are those involved in information processing facilities.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.37,0,False
SIMP0033,Who is responsible for ensuring that personnel apply information security policies?,Management is responsible for ensuring that personnel apply information security policies.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.4,0,False
SIMP0034,Who should the organization establish contact with?,The organization should establish contact with relevant authorities.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.5,0,False
SIMP0035,Who should the organization maintain contact with?,The organization should establish and maintain contact with special interest groups or other specialist security forums and professional associations.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.6,0,False
SIMP0036,Who is responsible for collecting and analyzing information security threats?,The policy states that information relating to information security threats should be collected and analyzed by individuals responsible for producing threat intelligence.,simple,ISO-27001-Controls-List-Free-Download-pdf-.pdf,ISO_5.7,0,False
