doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Log Retention and Forensic Value,"Organizations must define log retention periods based on regulatory, operational, and forensic requirements. Retained logs provide historical evidence, support root-cause analysis, and are essential for legal and compliance investigations.","Kuruluşlar, yasal, operasyonel ve adli gereksinimlere göre log saklama sürelerini tanımlamalıdır. Saklanan loglar, geçmişe dönük kanıt sağlar, kök neden analizini destekler ve hukuki ile uyumluluk incelemeleri için kritik öneme sahiptir.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Log Review and Accountability,"Organizations must define processes for regular log review, including clear responsibilities and service level agreements. Security Operations Centers or designated teams are responsible for monitoring logs, detecting threats, and responding in a timely manner.","Kuruluşlar, düzenli log incelemesi için sorumlulukları ve hizmet seviyelerini tanımlayan süreçler oluşturmalıdır. Güvenlik Operasyon Merkezleri (SOC) veya yetkilendirilmiş ekipler, logları izlemek, tehditleri tespit etmek ve zamanında müdahale etmekle sorumludur.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Centralized Logging and Missing Logs,"Organizations must maintain systems that aggregate logs from all information systems. Missing or delayed logs may indicate system failures or security incidents. Alerts must be generated when expected logs are not received within defined timeframes.","Kuruluşlar, tüm bilgi sistemlerinden logları toplayan merkezi sistemler kullanmalıdır. Eksik veya geciken loglar, sistem arızalarına veya güvenlik olaylarına işaret edebilir. Belirlenen sürelerde log alınmadığında uyarı mekanizmaları devreye girmelidir.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Log Integrity and Protection,"Log management practices aim to maintain the integrity, confidentiality, and availability of log data. Protecting logs from unauthorized access or modification ensures that security events are accurately recorded and trusted during incident investigations and compliance audits.","Log yönetimi uygulamaları, kayıtların bütünlüğünü, gizliliğini ve erişilebilirliğini korumayı amaçlar. Logların yetkisiz erişim veya değiştirmeye karşı korunması, güvenlik olaylarının doğru şekilde kaydedilmesini ve olay incelemeleri ile denetimlerde güvenilir olmasını sağlar.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
Log Management Policy,logging,Purpose of Log Management,"Log management establishes a structured approach for collecting, monitoring, and analyzing log data generated by systems, applications, and network infrastructure. Effective log management enhances visibility into security events, enables detection of anomalous activities, supports incident response, and provides evidence for forensic investigations.","Log yönetimi; sistemler, uygulamalar ve ağ altyapısı tarafından üretilen kayıtların toplanması, izlenmesi ve analiz edilmesi için yapılandırılmış bir yaklaşım sunar. Etkili log yönetimi, güvenlik olaylarının görünürlüğünü artırır, anormal faaliyetlerin tespitini sağlar, olay müdahalesini destekler ve adli incelemeler için kanıt üretir.","https://www.sans.org/information-security-policy/log-management-policy/"
doc_title,policy_type,section_title,chunk_text_en,chunk_text_tr,source_url
